%time Phouse1 Phouse2 Phouse5
0 1209.53684211 1379.81052632 3395.11578947
1 1192.23157895 1382.90526316 3339.6
2 1202.52631579 1381.32631579 3314.33684211
3 1199.05263158 1374.88421053 3332.33684211
4 1199.43157895 1379.11578947 3353.81052632
5 1192.61052632 1383.78947368 3300.82105263
6 1210.35789474 1381.32631579 3348.69473684
7 1196.21052632 1377.53684211 3375.78947368
8 1202.33684211 1372.61052632 3325.2
9 1196.46315789 1380.44210526 3346.10526316
10 1208.52631579 1381.83157895 3331.76842105
11 1195.76842105 1381.57894737 3381.41052632
12 1202.52631579 1375.26315789 3283.89473684
13 1200 1373.74736842 3275.62105263
14 1203.47368421 1380.63157895 3284.96842105
15 1192.98947368 1382.65263158 3296.65263158
16 1208.02105263 1378.67368421 3296.84210526
17 1198.04210526 1374.82105263 3284.84210526
18 1198.54736842 1376.27368421 3296.90526316
19 1201.07368421 1379.87368421 3495.34736842
20 1199.68421053 1380.44210526 3428.71578947
21 1200.37894737 1374.69473684 3388.67368421
22 1191.6 1375.64210526 3264.82105263
23 1206.06315789 1378.35789474 3363.91578947
24 1190.77894737 1379.17894737 3449.24210526
25 1201.76842105 1379.55789474 3347.05263158
26 1196.08421053 1377.22105263 3302.33684211
27 1209.72631579 1373.62105263 3361.38947368
28 1192.10526316 1380.31578947 3529.01052632
29 1207.26315789 1382.27368421 3359.68421053
30 1198.98947368 1379.36842105 3289.2
31 1202.84210526 1374 3350.84210526
32 1195.38947368 1373.74736842 3378.31578947
33 1210.8 1380.25263158 3350.4
34 1190.65263158 1379.17894737 3354.50526316
35 1201.07368421 1377.85263158 3334.73684211
36 1194 1369.89473684 3450.75789474
37 1204.35789474 1371.97894737 3437.93684211
38 1191.6 1376.58947368 3507.28421053
39 1203.72631579 1377.78947368 3382.67368421
40 1197.47368421 1377.22105263 3319.2
41 1200.94736842 1368.50526316 3354.44210526
42 1197.97894737 1374 3332.21052632
43 1206.82105263 1379.05263158 3409.83157895
44 1188.50526316 1380 3356.84210526
45 1202.90526316 1376.90526316 3362.33684211
46 1198.67368421 1372.92631579 3340.92631579
47 1202.21052632 1377.91578947 3421.2
48 1188.50526316 1377.6 3316.29473684
49 1205.30526316 1379.55789474 3317.17894737
50 1192.8 1359.41052632 3315.85263158
51 1199.43157895 1298.02105263 3263.43157895
52 1194.25263158 1304.02105263 3274.73684211
53 1203.6 1299.41052632 3303.15789474
54 1192.42105263 1303.51578947 3400.29473684
55 1201.76842105 1265.55789474 3310.73684211
56 1205.36842105 1229.93684211 3383.05263158
57 1195.32631579 1226.08421053 3311.43157895
58 1206.37894737 1287.15789474 3314.33684211
59 1194.06315789 1477.32631579 3288.69473684
60 1202.33684211 1468.86315789 3275.55789474
61 1196.77894737 1469.43157895 3334.10526316
62 1201.32631579 1462.35789474 3321.72631579
63 1192.35789474 1468.8 3327.91578947
64 1208.02105263 1469.49473684 3276.06315789
65 1188.56842105 1464.50526316 3295.70526316
66 1198.98947368 1460.14736842 3438.37894737
67 1195.57894737 1466.4 3315.97894737
68 1197.72631579 1467.91578947 3330.44210526
69 1193.05263158 1466.21052632 3444.50526316
70 1205.49473684 1459.83157895 3292.98947368
71 1190.14736842 1461.28421053 3329.55789474
72 1200.25263158 1465.57894737 3334.29473684
73 1196.4 1470.50526316 3297.53684211
74 1194.06315789 1465.64210526 3327.78947368
75 1189.45263158 1462.8 3278.71578947
76 1199.11578947 1462.35789474 3293.11578947
77 1184.33684211 1469.30526316 3359.36842105
78 1200.88421053 1468.16842105 3307.01052632
79 1189.2 1466.02105263 3331.2
80 1196.46315789 1457.81052632 3427.13684211
